category_name,label,description
space_general,Space General,Broad or cross-cutting space-related topics that do not fit neatly into a specific technical or operational category
space_habitats,Space Habitats,"Space Habitats & Life Support Systems (radiation shielding, closed-loop systems, habitation modules)"
space_industrial_base,Space Industrial Base,"Supply Chain & Space Industrial Base Resilience (domestic sourcing, redundancy, critical materials)"
space_instrumentation,Space Instrumentation,"Multispectral & Hyperspectral Instrumentation (sensor design, calibration, next-gen satellite payload architectures for visible through thermal IR)"
space_medicine,Space Medicine,"Astronaut Health, Safety & Space Medicine (telemedicine, radiation effects, long-duration care)"
space_policy,Space Policy,"Space Law, Policy, Regulation & Outreach (licensing, ITAR, liability, market access, STEM education, public engagement)"
space_resource_utilization,Space Resource Utilization,"Space Resource Mining & ISRU (regolith processing, asteroid mining, lunar extraction systems)"
space_robotics,Space Robotics,"Space Robotics & Telerobotics (robotic arms, maintenance bots, planetary rovers, remote handling)"
space_situational_awareness,Space Situational Awareness,"Space Domain Awareness & Debris Mitigation (tracking, cataloging, debris removal)"
space_tourism,Space Tourism,"Space Tourism & Commercial Accommodations (orbital hotels, suborbital flights, experience design)"
space_traffic_management,Space Traffic Management,"Space Traffic Management & Collision Avoidance (tracking protocols, maneuver coordination, policy)"
spacecraft_adcs,Spacecraft ADCS,"Attitude Determination & Control (ADCS; sensors, actuators, algorithms, momentum management)"
spacecraft_communications,Spacecraft Communications,"Spacecraft Communications & Telecom Systems (RF, optical, antennas, modems)"
spacecraft_mechanisms,Spacecraft Mechanisms,"Spacecraft Mechanisms (deployment devices, actuators, hinges, motorized assemblies)"
spacecraft_power_thermal,Spacecraft Power Thermal,"Electrical Power & Thermal Control Systems (solar arrays, batteries, heat pipes, radiators)"
spacecraft_propulsion,Spacecraft Propulsion,"Spacecraft Propulsion Systems (chemical, electric, hybrid, solar sail)"
spacecraft_structures,Spacecraft Structures,"Spacecraft Structures & Materials (lightweight designs, composites, shielding, mechanical loads)"
spacecraft_ttc,Spacecraft TTC,"Telemetry, Command & Data Handling (TT&C; onboard computing, command systems, data buses)"
spectrum_management,Spectrum Management,"Radiofrequency Spectrum & Interference Management (allocation, deconfliction, signal protection)"
